song_id,title,artist,dataset,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6w8T2AwZ4k47OF1w2Jj2e1,The Eyes of Jenny,Sandy Coast,NH,0.679,0.527,9,-11.671,1,0.0351,0.34,0.0,0.0775,0.68,118.626,audio_features,spotify:track:6w8T2AwZ4k47OF1w2Jj2e1,https://api.spotify.com/v1/tracks/6w8T2AwZ4k47OF1w2Jj2e1,https://api.spotify.com/v1/audio-analysis/6w8T2AwZ4k47OF1w2Jj2e1,264160,4
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,NH,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,audio_features,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs,289533,3
6uQL0epVs9N9Bergafaf6x,The Saints Are Coming,U2,NH,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.118,152.116,audio_features,spotify:track:6uQL0epVs9N9Bergafaf6x,https://api.spotify.com/v1/tracks/6uQL0epVs9N9Bergafaf6x,https://api.spotify.com/v1/audio-analysis/6uQL0epVs9N9Bergafaf6x,201907,4
6tsojOQ5wHaIjKqIryLZK6,All My Life,Foo Fighters,NH,0.577,0.604,5,-5.703,1,0.0495,0.000218,0.000579,0.477,0.637,167.719,audio_features,spotify:track:6tsojOQ5wHaIjKqIryLZK6,https://api.spotify.com/v1/tracks/6tsojOQ5wHaIjKqIryLZK6,https://api.spotify.com/v1/audio-analysis/6tsojOQ5wHaIjKqIryLZK6,263440,4
03MVMUFmiv89xXMi4sXtfj,Don't Let Me Be Misunderstood,Santa Esmeralda,NH,0.651,0.907,9,-7.279,0,0.0406,0.000423,0.0107,0.695,0.705,126.98,audio_features,spotify:track:03MVMUFmiv89xXMi4sXtfj,https://api.spotify.com/v1/tracks/03MVMUFmiv89xXMi4sXtfj,https://api.spotify.com/v1/audio-analysis/03MVMUFmiv89xXMi4sXtfj,338160,4
4dFsZLGVr40S9veNWXBCoe,Traffic - Radio Edit,Tiësto,NH,0.714,0.642,8,-10.241,0,0.0868,0.00251,0.887,0.186,0.102,137.834,audio_features,spotify:track:4dFsZLGVr40S9veNWXBCoe,https://api.spotify.com/v1/tracks/4dFsZLGVr40S9veNWXBCoe,https://api.spotify.com/v1/audio-analysis/4dFsZLGVr40S9veNWXBCoe,177027,4
20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,NH,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,audio_features,spotify:track:20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/tracks/20I8RduZC2PWMWTDCZuuAN,https://api.spotify.com/v1/audio-analysis/20I8RduZC2PWMWTDCZuuAN,237027,4
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day,NH,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj,176346,4
6n8TMVyFKoUmDc4apxceRD,Breaking the Habit,Linkin Park,NH,0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,audio_features,spotify:track:6n8TMVyFKoUmDc4apxceRD,https://api.spotify.com/v1/tracks/6n8TMVyFKoUmDc4apxceRD,https://api.spotify.com/v1/audio-analysis/6n8TMVyFKoUmDc4apxceRD,196907,4
6mZCiuIXcA12syIS23Dyxa,Come Undone,Robbie Williams,NH,0.375,0.57,11,-5.364,1,0.0283,0.0385,4.37e-06,0.354,0.255,167.734,audio_features,spotify:track:6mZCiuIXcA12syIS23Dyxa,https://api.spotify.com/v1/tracks/6mZCiuIXcA12syIS23Dyxa,https://api.spotify.com/v1/audio-analysis/6mZCiuIXcA12syIS23Dyxa,278440,4
5vtXtPjH9NBC79ZOuTHYrF,Sweet Jane,Lou Reed,NH,0.381,0.783,9,-7.27,1,0.0709,0.0621,0.482,0.18,0.694,111.059,audio_features,spotify:track:5vtXtPjH9NBC79ZOuTHYrF,https://api.spotify.com/v1/tracks/5vtXtPjH9NBC79ZOuTHYrF,https://api.spotify.com/v1/audio-analysis/5vtXtPjH9NBC79ZOuTHYrF,468027,4
6kesIBNAY17BoAz28pnWMC,Run,Snow Patrol,NH,0.371,0.64,9,-6.02,0,0.0301,0.000464,4.43e-05,0.168,0.197,74.537,audio_features,spotify:track:6kesIBNAY17BoAz28pnWMC,https://api.spotify.com/v1/tracks/6kesIBNAY17BoAz28pnWMC,https://api.spotify.com/v1/audio-analysis/6kesIBNAY17BoAz28pnWMC,354547,4
6yWdQAiiIAMatznZ8vwteF,The Day After Tomorrow,Saybia,NH,0.394,0.787,9,-4.064,1,0.0304,0.000893,0.0,0.151,0.349,151.846,audio_features,spotify:track:6yWdQAiiIAMatznZ8vwteF,https://api.spotify.com/v1/tracks/6yWdQAiiIAMatznZ8vwteF,https://api.spotify.com/v1/audio-analysis/6yWdQAiiIAMatznZ8vwteF,235533,4
6i81qFkru6Kj1IEsB7KNp2,Just Breathe,Pearl Jam,NH,0.473,0.348,0,-11.1,1,0.0288,0.721,7.42e-05,0.0823,0.283,107.819,audio_features,spotify:track:6i81qFkru6Kj1IEsB7KNp2,https://api.spotify.com/v1/tracks/6i81qFkru6Kj1IEsB7KNp2,https://api.spotify.com/v1/audio-analysis/6i81qFkru6Kj1IEsB7KNp2,215853,4
6hC1xBNYMVK4acdnEXaZVD,Dansen Aan Zee,BLØF,NH,0.348,0.431,7,-10.546,1,0.0333,0.16,0.0,0.0969,0.257,193.753,audio_features,spotify:track:6hC1xBNYMVK4acdnEXaZVD,https://api.spotify.com/v1/tracks/6hC1xBNYMVK4acdnEXaZVD,https://api.spotify.com/v1/audio-analysis/6hC1xBNYMVK4acdnEXaZVD,274867,3
6gxycjJNMgmAyfzUXBN80P,Goodbye My Lover,James Blunt,NH,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,audio_features,spotify:track:6gxycjJNMgmAyfzUXBN80P,https://api.spotify.com/v1/tracks/6gxycjJNMgmAyfzUXBN80P,https://api.spotify.com/v1/audio-analysis/6gxycjJNMgmAyfzUXBN80P,258653,4
6guXhXMAHU4QYaEsobnS6v,The Unforgiven III,Metallica,NH,0.298,0.766,4,-3.485,0,0.0347,0.00203,3.84e-06,0.117,0.0923,121.555,audio_features,spotify:track:6guXhXMAHU4QYaEsobnS6v,https://api.spotify.com/v1/tracks/6guXhXMAHU4QYaEsobnS6v,https://api.spotify.com/v1/audio-analysis/6guXhXMAHU4QYaEsobnS6v,466587,4
6gDXbcILAyBa2skSdbUYq7,Hurt,Christina Aguilera,NH,0.327,0.295,4,-6.907,0,0.0313,0.775,0.0,0.107,0.143,148.574,audio_features,spotify:track:6gDXbcILAyBa2skSdbUYq7,https://api.spotify.com/v1/tracks/6gDXbcILAyBa2skSdbUYq7,https://api.spotify.com/v1/audio-analysis/6gDXbcILAyBa2skSdbUYq7,243373,4
6gCeQ6xJs2tYdLRzCPxeTZ,Grounds for Divorce,Elbow,NH,0.523,0.764,2,-5.069,0,0.027,0.417,2.96e-06,0.566,0.629,91.975,audio_features,spotify:track:6gCeQ6xJs2tYdLRzCPxeTZ,https://api.spotify.com/v1/tracks/6gCeQ6xJs2tYdLRzCPxeTZ,https://api.spotify.com/v1/audio-analysis/6gCeQ6xJs2tYdLRzCPxeTZ,219453,4
6fzcnVO0X2cpYjsHk19GJo,Sometimes You Can't Make It On Your Own,U2,NH,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96.0,audio_features,spotify:track:6fzcnVO0X2cpYjsHk19GJo,https://api.spotify.com/v1/tracks/6fzcnVO0X2cpYjsHk19GJo,https://api.spotify.com/v1/audio-analysis/6fzcnVO0X2cpYjsHk19GJo,305080,4
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,NH,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,audio_features,spotify:track:47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/tracks/47BBI51FKFwOMlIiX6m8ya,https://api.spotify.com/v1/audio-analysis/47BBI51FKFwOMlIiX6m8ya,213307,4
